epoch,accuracy,val_accuracy,loss,val_loss
1.0,0.8941,0.934,0.4126,0.1841
2.0,0.9754,0.9717,0.0908,0.0614
3.0,0.9962,1.0,0.0244,0.0189
4.0,1.0,1.0,0.0069,0.0046
5.0,1.0,1.0,0.002,0.0017
6.0,1.0,1.0,0.0005,0.0006
7.0,1.0,1.0,0.0002,0.0001
8.0,1.0,1.0,0.0001,0.0
9.0,1.0,1.0,0.0,0.0
10.0,1.0,1.0,0.0,0.0
11.0,1.0,1.0,0.0,0.0
12.0,1.0,1.0,0.0,0.0
13.0,1.0,1.0,0.0,0.0
14.0,1.0,1.0,0.0,0.0
15.0,1.0,1.0,0.0,0.0
16.0,1.0,1.0,0.0,0.0
17.0,1.0,1.0,0.0,0.0
18.0,1.0,1.0,0.0,0.0
19.0,1.0,1.0,0.0,0.0
20.0,1.0,1.0,0.0,0.0
21.0,1.0,1.0,0.0,0.0
22.0,1.0,1.0,0.0,0.0
23.0,1.0,1.0,0.0,0.0
24.0,1.0,1.0,0.0,0.0
25.0,1.0,1.0,0.0,0.0
